ct10_id,Median Household Income
25001010100,46547
25001010206,59234
25001010208,71964
25001010304,69659
25001010306,50357
25001010400,54669
25001010500,67424
25001010600,69471
25001010700,69223
25001010800,58271
25001010900,61875
25001011002,55240
25001011100,60164
25001011200,54602
25001011300,54773
25001011400,61042
25001011500,49474
25001011600,45100
25001011700,50463
25001011801,66058
25001011802,63969
25001012001,54077
25001012002,39714
25001012101,45072
25001012102,45424
25001012200,65799
25001012502,44620
25001012601,64621
25001012602,42000
25001012700,64641
25001012800,72023
25001012900,65737
25001013002,76111
25001013100,76071
25001013200,76506
25001013300,80061
25001013400,91250
25001013500,81799
25001013600,81711
25001013700,52348
25001013800,72179
25001013900,73750
25001014002,59583
25001014100,37299
25001014300,69020
25001014402,72827
25001014500,57022
25001014600,64511
25001014700,48434
25001014800,33036
25001014900,79706
25001015001,65000
25001015002,52768
25001015100,65625
25001015200,69648
25001015300,30899
25001990000,0
25003900100,18782
25003900200,30021
25003900300,55303
25003900400,37992
25003900500,61181
25003900600,28971
25003900700,52175
25003900800,65948
25003900900,51157
25003901100,47536
25003911100,66071
25003912100,52285
25003913100,54622
25003914100,51835
25003920101,62045
25003920102,91750
25003921300,34762
25003921400,38563
25003921500,37005
25003922100,32179
25003922200,40000
25003922300,45549
25003923100,56597
25003924100,53698
25003925100,48561
25003926100,52181
25003931100,54095
25003931300,51000
25003931400,72794
25003932200,46618
25003932300,62596
25003933200,54135
25003933300,67528
25003933400,61944
25003934200,75543
25003934300,55114
25003935100,78859
25003935200,56681
25003935300,37522
25005600100,65463
25005600202,69819
25005600203,129893
25005600204,88382
25005610100,59526
25005610202,117879
25005610203,110174
25005610204,98196
25005611101,90075
25005611102,83311
25005611201,81875
25005611202,55130
25005612100,98673
25005612200,77759
25005613100,58272
25005613300,81422
25005613400,68015
25005613600,37024
25005613700,53433
25005613800,32906
25005613901,34838
25005613902,50858
25005614000,40231
25005614101,55280
25005614102,79897
25005615100,85284
25005616100,81094
25005617101,91477
25005617102,77730
25005630101,59183
25005630102,58646
25005630200,103750
25005630300,92793
25005630400,70491
25005631100,66936
25005631200,73333
25005631300,65446
25005631400,38431
25005631500,60792
25005631600,47480
25005631700,70960
25005631800,78281
25005632100,81323
25005632200,73302
25005633100,98625
25005633200,79712
25005640100,41096
25005640200,23211
25005640300,24697
25005640400,37566
25005640500,33750
25005640600,30949
25005640700,47163
25005640800,36523
25005640901,26481
25005641000,21193
25005641101,14457
25005641200,20313
25005641300,24261
25005641400,25342
25005641500,33247
25005641600,52181
25005641700,56270
25005641800,50102
25005641900,37500
25005642000,38767
25005642100,38580
25005642200,42500
25005642300,73646
25005642400,50650
25005642500,68821
25005644101,66637
25005644102,83017
25005644200,65185
25005645101,61810
25005645102,70793
25005645103,80410
25005646101,67297
25005646103,76100
25005646104,79358
25005650101,65682
25005650102,58243
25005650201,54767
25005650202,41332
25005650300,51548
25005650400,40917
25005650500,37344
25005650600,24034
25005650700,32536
25005650800,19760
25005650900,21088
25005651001,51632
25005651002,52430
25005651100,26076
25005651200,19183
25005651300,29250
25005651400,37523
25005651500,33454
25005651600,48333
25005651700,24118
25005651800,15149
25005651900,22500
25005652000,32159
25005652100,58618
25005652200,64301
25005652300,34242
25005652400,31964
25005652500,33315
25005652600,22083
25005652700,23740
25005652800,45543
25005653101,65761
25005653102,86734
25005653203,57250
25005653204,71236
25005653301,75280
25005653304,99537
25005654100,77226
25005654200,58510
25005655100,69909
25005655200,36053
25005655300,68656
25005655400,66164
25005985500,88534
25005985600,114615
25005990000,0
25007200100,54762
25007200200,78890
25007200300,74214
25007200400,70398
25007990000,0
25009201100,77243
25009202101,107857
25009202102,71845
25009202200,104535
25009203100,114447
25009203200,105556
25009203301,76446
25009203302,83218
25009204101,60041
25009204102,71776
25009204200,41228
25009204300,38635
25009204400,57394
25009204500,61953
25009204600,62604
25009204701,52375
25009204702,68074
25009205100,73000
25009205200,63333
25009205300,73865
25009205400,84028
25009205500,49005
25009205600,46023
25009205700,61682
25009205800,41536
25009205900,44803
25009206000,34039
25009206100,28908
25009206200,37307
25009206300,36426
25009206400,53351
25009206500,47500
25009206600,43777
25009206700,35724
25009206800,16500
25009206900,23821
25009207000,22146
25009207100,32125
25009207200,25307
25009208101,76039
25009208102,70114
25009208200,66217
25009208300,83839
25009208400,80096
25009209100,100093
25009209200,110208
25009210100,86371
25009210200,91722
25009210300,55188
25009210400,72500
25009210500,75929
25009210600,62198
25009210700,50372
25009210800,40038
25009210900,54847
25009211100,63684
25009211200,71031
25009211300,96855
25009211401,70324
25009211402,83953
25009212100,93415
25009213100,137159
25009214100,116122
25009215101,107470
25009215102,93301
25009216100,139856
25009217100,76769
25009217201,61020
25009217202,85263
25009217300,48382
25009217400,54093
25009217500,73242
25009217600,100409
25009218100,114639
25009220101,70164
25009220102,80871
25009221100,92396
25009221300,62321
25009221400,60833
25009221500,39564
25009221600,38493
25009221700,40000
25009221800,79643
25009221901,68865
25009221902,67227
25009222100,79492
25009223100,72305
25009223200,72047
25009223300,105583
25009250100,14849
25009250200,45054
25009250300,45583
25009250400,21667
25009250500,37515
25009250600,46510
25009250700,27720
25009250800,34880
25009250900,24045
25009251000,21996
25009251100,16795
25009251200,18963
25009251300,18232
25009251400,35781
25009251500,40484
25009251600,27823
25009251700,43700
25009251800,58316
25009252101,75483
25009252102,93537
25009252201,73910
25009252202,114009
25009252300,46233
25009252400,39330
25009252501,63621
25009252502,61707
25009252601,65109
25009252602,84436
25009252603,86587
25009253100,58614
25009253201,68500
25009253202,78594
25009253203,127332
25009253204,136905
25009253205,141361
25009254100,85795
25009254200,71603
25009254301,128194
25009254302,135536
25009254401,124286
25009254402,126750
25009254403,145545
25009260100,27475
25009260200,34054
25009260301,73558
25009260302,79474
25009260401,79524
25009260402,84171
25009260500,90833
25009260600,55460
25009260700,60108
25009260800,38105
25009260900,46734
25009261000,60194
25009261101,107750
25009261102,67098
25009262100,76936
25009263100,104931
25009264100,91080
25009265101,91488
25009265102,113520
25009266100,93520
25009266200,75089
25009266300,78716
25009266400,74643
25009267101,68571
25009267102,67396
25009268100,112258
25009268200,82455
25009268300,60462
25009268400,86060
25009269100,89107
25009270100,79449
25009990100,0
25011040100,53958
25011040200,57569
25011040300,61667
25011040400,56029
25011040501,50139
25011040502,40200
25011040600,71652
25011040701,35861
25011040702,49682
25011040800,59397
25011040900,69744
25011041000,55197
25011041100,57917
25011041200,51038
25011041300,43157
25011041400,38885
25011041501,70852
25011041502,61286
25013800101,37378
25013800102,29038
25013800201,39034
25013800202,48088
25013800300,40515
25013800400,39260
25013800500,46520
25013800600,16463
25013800700,14226
25013800800,16094
25013800900,11712
25013801101,14726
25013801102,19236
25013801200,17544
25013801300,28750
25013801401,31921
25013801402,42798
25013801501,46449
25013801502,33512
25013801503,43063
25013801601,50966
25013801602,48548
25013801603,58275
25013801604,76354
25013801605,46900
25013801700,35824
25013801800,24602
25013801901,18861
25013801902,17874
25013802000,17268
25013802100,39550
25013802200,30368
25013802300,34497
25013802400,57070
25013802500,65217
25013802601,40805
25013802602,62995
25013810100,50909
25013810200,53520
25013810300,42061
25013810403,48542
25013810404,64199
25013810412,58438
25013810414,70927
25013810601,46841
25013810602,69250
25013810700,52780
25013810800,33893
25013810901,26375
25013810902,37824
25013811000,52841
25013811101,37532
25013811102,41983
25013811200,43616
25013811301,50000
25013811302,53469
25013811400,21445
25013811500,13108
25013811600,16288
25013811700,11955
25013811800,33157
25013811900,61997
25013812001,19583
25013812002,41796
25013812101,70839
25013812103,27733
25013812104,42180
25013812201,50807
25013812202,48125
25013812300,36323
25013812401,80657
25013812403,47437
25013812404,72667
25013812500,57614
25013812600,69348
25013812701,42132
25013812702,25483
25013812800,60114
25013812901,73800
25013812902,82375
25013812903,96111
25013813000,67417
25013813101,72620
25013813102,82849
25013813204,90000
25013813205,67021
25013813206,66761
25013813207,44630
25013813208,74651
25013813209,56217
25013813301,99958
25013813303,91976
25013813304,106953
25013813401,64327
25013813403,71307
25013813404,93149
25013813500,79773
25013813601,77865
25013813602,107500
25013813701,74074
25013813702,68561
25013813801,66165
25013813802,78380
25015820101,65568
25015820102,29659
25015820202,83667
25015820203,59788
25015820204,93301
25015820300,35292
25015820400,29107
25015820500,51815
25015820600,9676
25015820700,67344
25015820801,74167
25015820802,0
25015820900,70362
25015821000,63979
25015821100,63826
25015821200,81875
25015821300,59096
25015821400,75313
25015821500,53485
25015821601,46105
25015821602,50495
25015821700,66435
25015821901,60508
25015821903,31206
25015821904,56514
25015822000,33125
25015822200,72975
25015822300,42148
25015822401,77981
25015822402,45617
25015822500,76396
25015822601,55917
25015822603,82759
25015822605,59063
25015822606,64982
25015822700,61779
25017300100,82614
25017301101,68681
25017301102,87837
25017310100,35058
25017310200,60968
25017310300,41624
25017310400,47217
25017310500,57530
25017310601,57083
25017310602,62500
25017310700,51686
25017311100,32958
25017311200,46642
25017311300,56691
25017311400,47525
25017311500,49526
25017311600,64107
25017311700,64042
25017311800,41372
25017311900,25288
25017312000,62604
25017312100,43014
25017312200,61420
25017312300,54626
25017312400,36419
25017312501,82880
25017312502,82386
25017313101,109531
25017313102,84811
25017314101,65073
25017314102,70134
25017314200,65708
25017314301,76200
25017314302,105721
25017315100,101613
25017315200,79278
25017315401,67333
25017315402,102059
25017315403,101563
25017315500,82618
25017316101,96599
25017316102,86088
25017316201,96157
25017316202,95915
25017316300,78681
25017316400,88333
25017316500,89801
25017317101,74805
25017317102,87750
25017317103,124046
25017317201,129457
25017317202,116033
25017317203,88698
25017317301,69674
25017317302,78445
25017318100,100651
25017318200,112000
25017318300,138698
25017318400,140500
25017320102,141821
25017320103,106281
25017320104,126362
25017321100,77895
25017321200,61239
25017321300,51585
25017321400,97500
25017321500,74988
25017321600,83811
25017322100,97179
25017322200,86378
25017322300,63592
25017322400,73527
25017323100,112130
25017324101,97563
25017324102,106417
25017325100,54899
25017326101,107813
25017326102,123889
25017327101,97931
25017327102,75438
25017327103,102969
25017328100,109205
25017330100,114668
25017330200,92926
25017331101,95518
25017331102,95967
25017331200,100688
25017331300,109473
25017332100,113164
25017332200,79875
25017332300,85938
25017332400,96227
25017333100,76923
25017333200,77630
25017333300,62887
25017333400,70506
25017333501,83125
25017333502,62344
25017333600,72766
25017334100,103650
25017334200,106792
25017334300,122250
25017334400,82312
25017335100,82375
25017335200,86366
25017335301,75221
25017335302,86750
25017335400,101159
25017336100,83825
25017336200,106369
25017336300,98320
25017336401,65000
25017336402,74189
25017337101,80268
25017337102,88301
25017337201,64040
25017337202,70809
25017337300,77630
25017338100,125179
25017338200,85648
25017338300,125694
25017338400,165341
25017338500,144276
25017339100,70910
25017339200,89352
25017339300,75668
25017339400,47072
25017339500,80946
25017339600,77545
25017339700,61415
25017339801,80673
25017339802,57010
25017339900,56701
25017340000,50224
25017340100,91076
25017341101,71531
25017341102,45179
25017341200,40671
25017341300,43183
25017341400,62780
25017341500,58690
25017341600,50687
25017341700,65408
25017341800,48902
25017341901,41129
25017341902,63818
25017342101,48586
25017342102,42611
25017342201,44909
25017342202,47188
25017342300,52708
25017342400,56682
25017342500,45234
25017342600,49268
25017350103,66289
25017350104,43898
25017350200,66845
25017350300,72973
25017350400,78592
25017350500,84000
25017350600,89063
25017350700,51319
25017350800,70197
25017350900,88229
25017351000,72138
25017351100,58333
25017351203,80991
25017351204,73654
25017351300,62845
25017351403,39679
25017351404,43214
25017351500,46088
25017352101,79158
25017352102,82050
25017352200,36466
25017352300,68068
25017352400,30689
25017352500,72798
25017352600,56383
25017352700,31816
25017352800,83007
25017352900,81735
25017353000,54228
25017353101,59353
25017353102,52604
25017353200,64206
25017353300,102723
25017353400,56476
25017353500,81818
25017353600,77386
25017353700,51300
25017353800,77019
25017353900,41348
25017354000,64615
25017354100,73143
25017354200,142222
25017354300,77446
25017354400,105921
25017354500,79844
25017354600,69067
25017354700,96798
25017354800,87339
25017354900,46716
25017355000,90333
25017356100,93203
25017356300,67422
25017356400,107194
25017356500,88315
25017356601,81912
25017356602,86992
25017356701,75618
25017356702,82727
25017357100,99737
25017357200,146364
25017357300,97969
25017357400,104018
25017357500,79444
25017357600,96012
25017357700,72961
25017357800,125959
25017358100,137500
25017358300,121790
25017358400,140431
25017358500,155750
25017358600,126220
25017358700,154821
25017359100,97375
25017359300,105236
25017360100,82083
25017360200,149890
25017361100,116023
25017361200,113672
25017361300,136783
25017362100,159063
25017363102,83889
25017363103,121719
25017363104,118333
25017363201,132262
25017363202,128542
25017364101,75403
25017364102,80474
25017365100,159513
25017365201,163980
25017365202,151645
25017366100,104830
25017366201,206912
25017366202,124667
25017367100,182250
25017367200,179732
25017368101,78760
25017368102,84031
25017368200,92895
25017368300,56696
25017368400,64036
25017368500,50120
25017368600,59514
25017368700,40577
25017368800,58417
25017368901,79852
25017368902,43690
25017369000,62857
25017369100,75669
25017370101,74590
25017370102,73969
25017370201,89274
25017370202,98720
25017370300,59649
25017370400,83371
25017373100,77575
25017373200,64879
25017373300,103988
25017373400,84891
25017373500,137721
25017373600,137460
25017373700,211111
25017373800,102143
25017373900,127594
25017374000,119875
25017374100,77636
25017374200,116326
25017374300,197386
25017374400,170500
25017374500,100841
25017374600,102522
25017374700,103413
25017374800,123235
25017382100,95978
25017382200,97475
25017382300,113500
25017382400,66732
25017382500,82574
25017382601,77907
25017382602,81717
25017383101,46310
25017383102,25824
25017383200,54674
25017383300,63066
25017383400,52649
25017383501,47973
25017383502,61667
25017383600,74250
25017383700,68667
25017383800,90430
25017383901,89043
25017383902,127880
25017384001,94615
25017384002,70436
25017385100,106741
25017385201,70375
25017385202,100500
25017386100,152083
25017387100,113805
25017387201,84375
25017387202,122222
25017388100,103918
25017388200,71146
25017388300,18491
25017980000,0
25019950100,105375
25019950200,82694
25019950307,72813
25019950400,90482
25019950500,84500
25019990000,0
25021400100,72195
25021400200,67554
25021400300,111793
25021400400,69402
25021400500,94036
25021400600,138506
25021400700,135481
25021400800,65192
25021400900,71417
25021401000,84318
25021401100,161333
25021401200,131875
25021402101,85568
25021402102,69492
25021402200,82250
25021402300,93177
25021402400,79189
25021402500,113875
25021403100,131076
25021403300,153182
25021403400,113023
25021403500,96494
25021404100,140870
25021404201,214659
25021404202,150156
25021404301,180000
25021404302,101571
25021404400,122885
25021405100,184646
25021406101,115063
25021406102,132015
25021407100,90360
25021408101,110158
25021408102,95469
25021409101,126750
25021409102,118644
25021410100,91098
25021410300,106277
25021410400,76389
25021411100,96554
25021411200,75750
25021411301,96125
25021411302,85461
25021412100,123750
25021412200,122656
25021412300,117750
25021413100,83824
25021413200,69722
25021413300,82159
25021413401,66768
25021413402,72373
25021413500,69792
25021414100,125119
25021414200,147399
25021414300,93229
25021415101,90571
25021415102,81961
25021415200,81223
25021415300,125026
25021416101,103542
25021416102,84635
25021416200,101773
25021416300,105017
25021416400,115972
25021417100,70293
25021417200,61832
25021417300,63893
25021417400,94038
25021417501,72782
25021417502,57579
25021417601,64077
25021417602,47308
25021417701,51100
25021417702,76912
25021417801,85406
25021417802,23494
25021417901,34482
25021417902,50567
25021418002,69375
25021418003,83116
25021418004,36979
25021418101,72538
25021418102,62690
25021418200,74018
25021419100,93117
25021419200,84559
25021419300,65000
25021419400,62109
25021419500,93397
25021419600,86316
25021419700,79330
25021419800,77093
25021420100,58632
25021420201,69531
25021420202,64842
25021420301,64955
25021420302,67938
25021421100,55556
25021421200,76685
25021422100,96708
25021422200,58048
25021422301,80078
25021422302,74414
25021422400,63275
25021422501,60000
25021422502,52861
25021422600,85690
25021422700,73716
25021422800,56809
25021423100,117831
25021440100,81371
25021441202,122857
25021441203,74904
25021441204,106734
25021442101,85000
25021442102,91941
25021442103,115446
25021442201,130302
25021442202,76325
25021443101,83890
25021443102,82755
25021456101,93866
25021456102,58966
25021456200,82708
25021456301,62958
25021456302,50376
25021456401,57083
25021456402,96083
25021457100,72880
25021457200,118242
25023500101,83458
25023500103,75000
25023500104,59695
25023501101,75045
25023501102,101023
25023501201,128625
25023501202,100750
25023502101,62797
25023502102,63432
25023502200,67162
25023503101,119427
25023503102,86971
25023504101,101220
25023504102,116923
25023505101,97583
25023505102,108300
25023505200,68404
25023506101,98784
25023506102,108125
25023506202,103587
25023506203,88438
25023506204,77245
25023507101,115489
25023507103,139856
25023507104,112188
25023508101,79200
25023508102,80467
25023508200,89167
25023509101,75176
25023509102,80273
25023510100,70670
25023510200,72738
25023510300,30016
25023510400,46458
25023510501,50031
25023510502,39343
25023510503,51781
25023510600,69819
25023510700,62111
25023510800,39243
25023510900,17131
25023511000,60044
25023511100,73056
25023511200,40727
25023511301,59333
25023511302,63558
25023511400,41696
25023511500,50135
25023511600,41419
25023511701,66477
25023511702,66029
25023520100,82587
25023520201,60329
25023520202,88204
25023521101,72273
25023521102,82143
25023521201,61224
25023521202,82155
25023522101,90855
25023522102,86948
25023523100,80182
25023523201,101012
25023523202,78571
25023524101,84939
25023524102,70833
25023525101,86914
25023525104,99167
25023525203,79830
25023525204,114654
25023525300,0
25023526100,83522
25023530100,70763
25023530200,54000
25023530300,54757
25023530400,77639
25023530500,56597
25023530600,81216
25023530700,80208
25023530801,82323
25023530802,78536
25023530901,76364
25023530902,106382
25023540101,92396
25023540102,93490
25023540103,96786
25023541100,98728
25023542101,93408
25023542102,83611
25023542200,71498
25023542300,59112
25023543100,93882
25023544100,84510
25023544200,58929
25023545100,60278
25023545200,55315
25023545300,44176
25023545400,51858
25023560100,82065
25023561100,87793
25023561200,40000
25023990003,0
25025000100,53699
25025000201,64792
25025000202,53542
25025000301,89236
25025000302,78198
25025000401,35104
25025000402,55459
25025000502,46205
25025000503,49531
25025000504,33444
25025000601,54635
25025000602,26648
25025000701,51354
25025000703,20129
25025000704,44774
25025000802,36881
25025000803,28304
25025010103,14953
25025010104,29818
25025010203,35303
25025010204,31389
25025010300,27438
25025010403,16786
25025010404,16735
25025010405,13580
25025010408,51078
25025010500,42099
25025010600,75547
25025010701,98786
25025010702,90068
25025010801,154402
25025010802,88370
25025020101,94390
25025020200,66944
25025020301,74000
25025020302,93674
25025020303,91136
25025030100,55278
25025030200,56082
25025030300,122309
25025030400,60603
25025030500,98906
25025040100,127039
25025040200,48026
25025040300,115029
25025040401,73184
25025040600,116042
25025040801,37000
25025050101,33939
25025050200,50733
25025050300,15907
25025050400,48697
25025050500,40625
25025050600,56875
25025050700,57566
25025050901,51038
25025051000,42301
25025051101,53750
25025051200,46890
25025060101,82500
25025060200,90577
25025060301,89318
25025060400,78220
25025060501,91630
25025060600,81627
25025060700,17592
25025060800,80000
25025061000,26471
25025061101,11956
25025061200,67813
25025070101,47609
25025070200,14823
25025070300,117436
25025070402,15484
25025070500,71058
25025070600,87060
25025070700,61190
25025070800,56589
25025070900,51034
25025071101,44076
25025071201,37923
25025080100,40329
25025080300,23315
25025080401,13446
25025080500,16136
25025080601,21422
25025080801,15994
25025080900,36450
25025081001,28932
25025081100,45125
25025081200,18198
25025081300,20404
25025081400,46919
25025081500,27417
25025081700,35589
25025081800,41471
25025081900,37004
25025082000,33148
25025082100,21585
25025090100,34153
25025090200,18883
25025090300,17068
25025090400,35093
25025090600,50167
25025090700,38789
25025090901,25523
25025091001,63938
25025091100,63944
25025091200,66463
25025091300,30691
25025091400,27708
25025091500,41810
25025091600,38116
25025091700,46807
25025091800,55473
25025091900,35144
25025092000,44796
25025092101,48700
25025092200,45848
25025092300,36765
25025092400,26207
25025100100,22375
25025100200,41898
25025100300,45685
25025100400,52930
25025100500,46605
25025100601,53616
25025100603,63594
25025100700,68467
25025100800,60813
25025100900,56125
25025101001,62446
25025101002,36128
25025101101,58672
25025101102,32854
25025110103,58935
25025110201,54263
25025110301,72159
25025110401,48750
25025110403,65417
25025110501,77201
25025110502,53789
25025110601,89931
25025110607,76414
25025120103,172852
25025120104,65526
25025120105,168125
25025120201,64636
25025120301,61599
25025120400,86587
25025120500,47150
25025120600,85465
25025120700,72746
25025130100,76464
25025130200,102328
25025130300,87477
25025130402,76303
25025130404,76424
25025130406,29271
25025140102,57336
25025140105,74205
25025140106,27841
25025140107,52829
25025140201,60000
25025140202,66900
25025140300,54640
25025140400,52644
25025160101,48043
25025160200,44076
25025160300,51594
25025160400,37524
25025160501,36190
25025160502,42513
25025160601,47609
25025160602,47463
25025170100,54397
25025170200,61226
25025170300,61319
25025170400,42018
25025170501,44653
25025170502,48406
25025170601,45076
25025170701,40625
25025170702,46638
25025170800,54201
25025180101,53050
25025180200,55714
25025180301,79976
25025180400,58571
25025180500,66774
25025980101,0
25025980300,0
25025980700,0
25025981000,0
25025981100,15385
25025981201,0
25025981202,0
25025981300,76705
25025981501,0
25025981502,0
25025981600,0
25025981700,0
25025981800,0
25025990101,0
25027700100,81842
25027701100,55279
25027702200,66188
25027703100,43950
25027703200,50198
25027703300,63074
25027704200,73358
25027705100,70116
25027706100,83333
25027707100,50306
25027707200,35162
25027707300,35274
25027707400,58542
25027707500,65074
25027708100,78632
25027709100,76250
25027709201,70809
25027709202,64549
25027709400,37981
25027709501,88594
25027709502,55688
25027709600,51311
25027709701,51801
25027709702,49950
25027710100,48007
25027710200,63225
25027710300,66680
25027710400,64219
25027710500,36009
25027710600,47083
25027710700,13642
25027710800,33462
25027711000,39766
25027711100,72824
25027712101,75102
25027712102,105847
25027713100,87962
25027715100,137120
25027716100,69422
25027716200,47188
25027716300,51081
25027717100,94712
25027718100,91734
25027719100,102270
25027720100,108319
25027721101,79700
25027721102,83734
25027722100,73687
25027723100,66648
25027724100,62685
25027725100,64009
25027726100,80112
25027726200,47183
25027727100,105072
25027728100,111275
25027728200,93702
25027728300,88924
25027728400,81962
25027729100,73056
25027729200,73906
25027730100,66754
25027730200,72087
25027730300,51827
25027730401,34596
25027730402,53558
25027730500,50957
25027730600,80000
25027730700,69375
25027730801,89844
25027730802,63341
25027730901,62399
25027730902,69531
25027731001,62245
25027731002,43984
25027731101,43897
25027731102,56051
25027731202,0
25027731203,18309
25027731204,19321
25027731300,24200
25027731400,19194
25027731500,18087
25027731600,31090
25027731700,30656
25027731800,21429
25027731900,30140
25027732001,18773
25027732002,45880
25027732201,45500
25027732202,47376
25027732203,55938
25027732301,58662
25027732302,50645
25027732400,30596
25027732500,32292
25027732600,34742
25027732700,42692
25027732801,65305
25027732802,58652
25027732901,47117
25027732902,0
25027733000,35843
25027733101,62865
25027733102,63854
25027735100,75682
25027735200,70106
25027736100,83438
25027736200,74200
25027736300,63702
25027736400,82705
25027736500,67375
25027737100,82411
25027737200,47569
25027737300,79769
25027738100,70192
25027738201,129493
25027738202,89574
25027739100,92130
25027739200,67436
25027739300,81776
25027739400,94580
25027739500,106797
25027740101,128977
25027740102,99863
25027740200,76676
25027741101,119250
25027741102,164393
25027742300,71731
25027742401,152375
25027742402,108188
25027743100,110083
25027744101,88347
25027744102,83721
25027744200,51530
25027744300,46842
25027744400,49375
25027745100,98220
25027746100,93245
25027747101,75592
25027747102,69926
25027748100,73426
25027749100,94252
25027749200,75952
25027750100,59904
25027750200,90993
25027750300,58922
25027751101,106760
25027751102,113454
25027752100,81000
25027753100,69830
25027753200,67618
25027754100,67893
25027754200,38088
25027754300,36435
25027754400,60643
25027755100,54191
25027755200,78173
25027756101,78948
25027756102,96225
25027757100,43936
25027757200,25417
25027757300,34612
25027757400,55365
25027757500,60194
25027758101,67606
25027758102,83399
25027759100,62350
25027760100,62390
25027761100,51188
25027761200,87168
25027761300,67938
25027761400,142411